国民经济主要指标（亿元）,1-9月,同比±%,1-8月,同比±%,1-7月,同比±%,1-6月,同比±%,1-5月,同比±%,1-4月,同比±%,1-3月,同比±%,1-2月,同比±%
进出口总额,9625.1,10.3,8580.0,12.3,7503.0,13.3,6322.5,11.9,5143.7,11.5,4042.2,12.6,3044.0,17.0,2053.3,19.6
 出口总额,6243.2,12.0,5595.0,14.9,4886.0,16.1,4085.0,14.1,3332.4,14.9,2625.7,16.6,1956.0,20.4,1351.2,21.3
 进口总额,3381.8,7.2,2985.0,7.8,2616.0,8.5,2237.5,8.1,1811.4,5.7,1416.5,5.7,1088.0,11.4,702.1,16.5
宁波舟山港货物吞吐量（万吨）,95857.6,3.8,86006.3,4.1,75220.3,4.8,64055.4,2.8,52970.5,4.0,41429.0,4.0,30324.7,3.4,19872.6,2.8
宁波舟山港集装箱吞吐量（万标箱）,2632.3,9.8,2369.8,10.9,2075.5,11.1,1747.4,8.7,1431.7,8.1,1094.5,5.2,791.3,2.9,525.4,1.1
