规模以上工业增加值（亿元）,9月,同比±%,1-9月,同比±%,8月,同比±%,1-8月,同比±%,7月,同比±%,1-7月,同比±%,6月,同比±%,1-6月,同比±%,5月,同比±%,1-5月,同比±%,4月,同比±%,1-4月,同比±%,3月,同比±%,1-3月,同比±%,2月,同比±%,1-2月,同比±%
宁波市,470.8,5.4,3972.8,4.9,447.5,4.8,3505.0,4.8,433.1,3.8,3057.5,4.8,492.7,5.2,2684.2,5.0,446.5,2.0,2191.8,4.9,425.1,-2.1,1743.3,5.7,510.5,8.2,1319.7,8.5,338.7,18.6,807.1,8.7
规模以上工业销售产值（亿元）,9月,同比±%,1-9月,同比±%,8月,同比±%,1-8月,同比±%,7月,同比±%,1-7月,同比±%,6月,同比±%,1-6月,同比±%,5月,同比±%,1-5月,同比±%,4月,同比±%,1-4月,同比±%,3月,同比±%,1-3月,同比±%,2月,同比±%,1-2月,同比±%
 出口交货值,323.8,-16.2,3138.3,3.3,351.4,-0.6,2816.7,6.3,362.1,3.7,2464.3,7.7,389.1,8.5,2102.0,8.6,350.6,2.5,1712.6,8.5,352.2,1.6,1360.0,10.2,372.9,14.3,1007.7,13.5,266.8,12.0,630.0,12.8
